0,1,2,3,4,5,6
306,"I7 - 3,40 GHZ",B85M-D2V,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
307,"I7 - 3,40 GHZ",B85M-D2V,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
308,"I7 - 3,40 GHZ",B85M-D2V,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
309,"I5 - 3,00 GHZ",H110M-H-CF,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
310,"I7 - 3,60 GHZ",H110M-H,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
311,"I7 - 3,60 GHZ",H110M-H,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
312,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
313,"I7 - 3,60 GHZ",H110M-H-CF,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
314,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
315,"2 DUO  3,00 GHZ",DQ43AP,320 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
317,"I7 - 3,40 GHZ",B85M-D2V,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
320,"I7 - 3,60 GHZ",H110M-H-CF,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
323,"I7 - 3,60 GHZ",H110M-H,120 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
324,"I7 - 3,40 GHZ",B85M-D2V,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
325,AMD A4 4000 RADEON 3 GHZ,F2A68HM-H,320 GB - MECANICO,2 Gb,B,WINDOWS 7 - 64 BIT
326,"PENTIUM D  2,80 GHZ",P5L-MX,80 GB - MECANICO,2 Gb,M,WINDOWS 7 - 32 BIT
327,"2 DUO  2,00 GHZ",P5KPL-AM SE,250 GB - MECANICO,1 Gb,M,WINDOWS 7 - 32 BIT
328,"PENTIUM D  2,80 GHZ",P5PE-VM,80 GB - MECANICO,1 Gb,M,WINDOWS 7 - 32 BIT
329,"Intel G645 - 2,90 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 32 BIT
331,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
